image_files,Picturio,AADB
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\011_2015-tavasz-f_3,0-1_1600 s-50,0 mm-20150423dsc_1901_131067552992048376.jpg",0.42528724670410156,0.595221
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\012_131067355356007052.jpg,0.6576564311981201,0.561508
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\012_2015-tavasz-f_3,0-1_2500 s-50,0 mm-20150423dsc_1902_131067553034542422.jpg",0.3533526659011841,0.771867
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\012_photoexpo-[-[f_5,0]-[1_8 s]-[45,0 mm]-_mg_9055_131067553077392653.jpg",0.19601838290691376,0.488937
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0122_131067355392413557.jpg,0.5342824459075928,0.599375
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0124_131067355443507637.jpg,0.5503016710281372,0.667991
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0125_131074383174620426.jpg,0.49334517121315,0.555666
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0126_131067355474601992.jpg,0.6173565983772278,0.435719
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0127_131067355492640752.jpg,0.27271226048469543,0.455442
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0128_131067355552243335.jpg,0.6617950797080994,0.749439
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\013_131067355668225925.jpg,0.5131879448890686,0.567124
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\013_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9259_131072791585500307.jpg",0.3536331355571747,0.436078
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\013_2015-tavasz-f_3,0-1_640 s-50,0 mm-20150423dsc_1903_131067553129486536.jpg",0.26421406865119934,0.711139
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\013_photoexpo-[-[f_5,0]-[1_8 s]-[46,0 mm]-_mg_9056_131067553154749567.jpg",0.12028129398822784,0.278222
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0130_131067355653850932.jpg,0.6144542098045349,0.584294
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0133_131067355730396941.jpg,0.6633294820785522,0.621938
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0134_131067355749142333.jpg,0.6874868869781494,0.617824
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0138_131067355816059764.jpg,0.6327338814735413,0.545064
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\014_131067355855825970.jpg,0.40186408162117004,0.600585
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\014_2015-tavasz-f_3,0-1_800 s-50,0 mm-20150423dsc_1904_131067553225208739.jpg",0.3009761869907379,0.764226
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\014_photoexpo-[-[f_5,0]-[1_8 s]-[46,0 mm]-_mg_9057_131067553268485850.jpg",0.3154172897338867,0.328621
